index,inchikey,smiles,HOMO_calc,LUMO_calc,LUMO_calib,LUMO_calib_stds,HOMO_calib,HOMO_calib_stds,GAP_calib,molW,GAP_calc,PCE_calc,Voc_calc,Jsc_calc,FF_calc,EQE_calc,PCE_calib,Voc_calib,Jsc_calib,FF_calib,EQE_calib,PCE_cdiff,PCE_calib_plus
0,XYUYDHFIISREFR-UHFFFAOYNA-N,CN1C(=O)C(=Cc2occc2C(=O)c2ccc(-c3ncc(C4=CC=CC5N=C(F)C(F)=NC45)cn3)s2)C(=O)N(C)C1=O,-6.2362297387258305,-3.1271702416827405,-3.70869066838978,0.272687950575,-6.31033755054533,0.223775501039468,2.6016468821555496,588.552,3.10905949704309,0.875232831395915,1.5728297583172601,8.564252636810002,0.65,0.65,2.11260635706517,0.99130933161022,32.79872602656,0.65,0.65,1.23737352566926,1.23210465533722
1,PHWHUZBDROGCOQ-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC=C(c3cnc(-c4ccc(C(=O)c5ccoc5)s4)nc3)C3N=C(F)C(F)=NC23)C(=O)N(C)C1=O,-6.33942968555274,-3.70474973062613,-4.25672012665438,0.27164301998667,-6.46112796876678,0.22248251924993304,2.2044078421124,588.552,2.63467995492661,1.9689204363410902,0.9952502693738701,30.446925891265,0.65,0.65,1.98082800467033,0.44327987334561997,68.77274220765,0.65,0.65,0.011907568329245001,0.572272353658706
2,OPESLBWKEFWREF-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ncc(-c3ccc(C(=O)c4cocc4C=Cc4ccncn4)s3)nn2)C(=O)N(C)C1=O,-6.406976890152099,-3.58128990384724,-4.09119782728613,0.264891941196458,-6.466048792527831,0.21994356915686897,2.3748509652417003,527.5219999999999,2.82568698630486,1.37754783966927,1.1187100961527598,18.951200208004998,0.65,0.65,2.03050253282131,0.6088021727138699,51.33043315179,0.65,0.65,0.652954693152039,1.1600894376703301
3,ZBIIYLIGWGDVFT-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nccc(C=Cc3cocc3C(=O)c3ccc(-c4cncnn4)s3)n2)C(=O)N(C)C1=O,-6.43856403431062,-3.09593809548042,-3.6462407053523602,0.268055856538843,-6.534126485749379,0.221198957017792,2.88788578039702,527.5219999999999,3.3426259388302006,0.49578205000359005,1.60406190451958,4.7568259533405,0.65,0.65,1.13006228388357,1.05375929464764,16.504734758915,0.65,0.65,0.634280233879984,0.394002483644543
4,SHQQQXHEKIZGPP-UHFFFAOYNA-N,CN1C(=O)C(=Cc2sc(C#N)c(-c3ncc(-c4ccsc4C(=O)c4ccoc4)cn3)c2C#N)C(=O)N(C)C1=O,-6.85993995908904,-3.5551180883012794,-4.03702497785526,0.268005644280903,-6.91346541751538,0.220382325881396,2.87644043966012,554.569,3.30482187078776,0.39449606008007,1.1448819116987201,5.3030969087395,0.65,0.65,0.7293983431285691,0.66297502214474,16.932270315675,0.65,0.65,0.33490228304849895,0.0
5,SODYCMUZRIIHGI-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cocc2C(=O)c2sccc2-c2cnc(-c3c(C#N)csc3C#N)nc2)C(=O)N(C)C1=O,-6.94160408654021,-3.04471046282939,-3.4670837441999,0.268474047093422,-7.012150111667641,0.220901004733807,3.54506636746774,554.569,3.8968936237108203,0.021653822221083,1.6552895371706102,0.2013298565642,0.65,0.65,0.19328480648677598,1.2329162558001001,2.4127466723685,0.65,0.65,0.17163098426569398,0.0
6,BBQBGEOKXIGDHB-UHFFFAOYNA-N,CN1C(=O)C(=Cc2c(F)cc(-c3sc4ccc(C#N)cc4c3C=Cc3ccncn3)c3nsnc23)C(=O)N(C)C1=O,-6.3310948845191,-3.72406380990294,-3.9681403853866,0.26368927515913604,-6.37692700828776,0.219289292365519,2.40878662290116,581.614,2.60703107461616,2.0550093727586396,0.97593619009706,32.40708522181,0.65,0.65,2.28858205950402,0.7318596146134,48.126723286135,0.65,0.65,0.23357268674537196,1.35434333940469
7,ORUMUUSVWKWIIG-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nccc(C=Cc3c(-c4cc(F)cc5nsnc45)sc4ccc(C#N)cc34)n2)C(=O)N(C)C1=O,-6.34817764950747,-3.21124127941818,-3.5109061700254602,0.26476418535438395,-6.451807121354071,0.21964359682844103,2.9409009513286097,581.614,3.1369363700892903,0.7761858372862809,1.48875872058182,8.02396420956,0.65,0.65,1.11284919770899,1.18909382997454,14.403491431875,0.65,0.65,0.33666336042271006,0.0
8,MHEOUERUWBMURT-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nc3ccc(-c4cnc(-c5occc5C(=O)c5cccs5)nc4)cc3o2)C(=O)N(C)C1=O,-6.329658965236829,-3.5164336804078995,-4.02741423729665,0.268685119923984,-6.450367235273781,0.22096987334521398,2.42295299797713,539.529,2.81322528482893,1.5036123698265,1.1835663195921,19.551986064065,0.65,0.65,2.04929859698793,0.67258576270335,46.892691428505,0.65,0.65,0.545686227161437,0.9702990608208969
9,XQKDADGERUFOTL-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccc(C(=O)c3ccoc3-c3ncc(-c4ccc5ncoc5c4)cn3)s2)C(=O)N(C)C1=O,-6.39582064914706,-3.28521984424891,-3.85405571370827,0.263002039972688,-6.49329638199466,0.218846716272686,2.63924066828639,539.529,3.11060080489815,0.787282943352733,1.41478015575109,8.564252636810002,0.65,0.65,1.6529318799964299,0.8459442862917299,30.07189398967,0.65,0.65,0.8656489366436919,0.552878535497862
