Mol_ID,Source,DOI,Donor,Acceptor,Donor SMILES,Acceptor SMILES,Voc,Jsc,FF,PCE,HOMO_A,LUMO_A,Ehl_A,Eg_A,HOMO_D,LUMO_D,Ehl_D,Eg_D
0,S,10.1021/acs.chemmater.8b05316.s001,,,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1,[C-]#[N+]/C(C#N)=c1/s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nn(CCCCCCCC)nc23)c(=O)n1CC,1.24,13.16,0.666,10.5,-5.49,-3.73,1.76,1.76,-5.39,-3.45,1.94,1.94
2,S,10.1002/adfm.201704507,,,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3cc(C)sc23)s1,[C-]#[N+]/C(C#N)=c1/s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nn(CCCCCCCC)nc23)c(=O)n1CC,1.15,10.84,0.662,8.25,-5.49,-3.73,1.76,1.76,-5.32,-3.38,1.94,1.94
3,S,10.1002/smtd.201700330,,,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,[C-]#[N+]/C(C#N)=c1/s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nsnc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nsnc23)c(=O)n1CC,0.91,14.66,0.609,8.13,-5.45,-3.95,1.5,1.5,-5.27,-3.5,1.77,1.77
4,S,10.1039/c7ta04703g,,,CCCCCCCCCCCCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,[C-]#[N+]C1=C(C)/C(=C/c2cc(CCCCCC)c(-c3cc(CCCCC)c(-c4cc5c(s4)c4sc(-c6sc(-c7sc(/C=C8\C(=O)N(CCCC)C(=O)C([N+]#[C-])=C8C)cc7CCCCCC)cc6CCCCCC)cc4n5C(CCCCCCCC)CCCCCCCC)s3)s2)C(=O)N(CCCC)C1=O,0.83,10.53,0.56,4.89,-5.27,-3.87,1.4,1.4,-5.1,-3.48,1.62,1.62
7,S,10.1002/adma.201400647,,,CCCCCCc1cc(C)sc1C,c1(/N=C2C(c3ccccc3)=C(C#Cc4ccccc4)C(c5ccccc5)=N/2)n([Zn]n6c(/N=C7N=C(C(C#Cc8ccccc8)=C\7c9ccccc9)c%10ccccc%10)c(c%11ccccc%11)c(C#Cc%12ccccc%12)c6c%13ccccc%13)c(c%14ccccc%14)c(C#Cc%15ccccc%15)c1c%16ccccc%16,0.77,9.1,0.59,4.1,-5.6,-3.85,1.75,1.75,-4.9,-3.0,1.9,1.9
8,S,10.1039/c4ta05310a,,,CCCCCCc1cc(C)sc1C,c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,0.75,0.41,0.62,0.19,-6.3,-2.65,3.65,3.65,-5.0,-3.1,1.9,1.9
9,S,10.1002/aenm.201802131,,,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CC#Cc1ccc2c(c1)C(=C(C#N)C#N)/C(=C/c1cc3sc4c(c3s1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc3cc(/C=C4\C(=O)c5ccc(C#CC)cc5C4=C(C#N)C#N)sc13)C2=O,0.989,16.5,0.67,10.9,-5.63,-3.9,1.73,1.73,-5.48,-3.65,1.83,1.83
10,S,10.1039/c4ra05584e,,,CCCCCCc1cc(C)sc1C,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCCCCN1c2ccccc2Sc2cc(C=C(C#N)C#N)ccc21,0.98,7.28,0.56,4.16,-5.58,-3.4,2.18,2.18,-5.0,-3.1,1.9,1.9
11,S,10.1021/acs.chemmater.5b04551,,,CCCCCCc1cc(C)sc1C,CC(C)OCCCN1C(=O)c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(=O)N(CCCOC(C)C)C5=O)c4nsnc34)cc2C1=O,0.66,0.55,0.29,0.11,-6.02,-3.32,2.7,2.7,-5.0,-3.1,1.9,1.9
13,S,10.1016/j.dyepig.2018.07.050,,,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CC(C1=CC=C(O[B-]23[N+]4=C5N=C6N2C(C7=C6C=CC(C8=C(CCCCCCCC)C=C(/C=C9C(C%10=CC=CC=C%10C\9=C(C#N)\C#N)=O)S8)=C7)=NC%11=C%12C=C(C%13=C(CCCCCCCC)C=C(/C=C%14C(C%15=CC=CC=C%15C\%14=C(C#N)\C#N)=O)S%13)C=CC%12=C(N3%11)N=C4C%16=C5C=CC(C%17=C(CCCCCCCC)C=C(/C=C%18C(C%19=CC=CC=C%19C\%18=C(C#N)\C#N)=O)S%17)=C%16)C=C1)(C)C,0.87,10.06,0.536,4.69,-5.6,-3.9,1.7,1.7,-5.33,-3.53,1.8,1.8
14,,,,,CCCCCCCCn1nc2c(-c3cc(CC(CCCC)CCCCCC)cs3)cc3c(cc(-c4cc(CC(CCCC)CCCCCC)c(-c5cc(F)c(-c6sccc6F)s5)s4)c4nn(CCCCCCCC)nc43)c2n1,CC.CC.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.8,17.33,0.725,10.05,-5.58,-3.98,1.6,1.6,-5.24,2.01,1.84,
15,,,,,CCCCCCCCn1nc2c(-c3cc(CC(CCCC)CCCCCC)cs3)cc3c(cc(-c4cc(CC(CCCC)CCCCCC)c(-c5ccc(-c6cccs6)s5)s4)c4nn(CCCCCCCC)nc43)c2n1,CC.CC.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.75,10.15,0.581,4.42,-5.58,-3.98,1.6,1.6,-5.16,2.06,1.94,
16,,,,,CCCCCCc1cc(C)sc1C,CC[Si]1(CC)c2ccsc2-c2sc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,0.54,4.85,0.547,1.43,-5.4,-3.7,1.7,,-5.01,1.89,,
17,S,10.1002/aenm.201000006,,,CCCCCCc1cc(C)sc1C,CCC(CC)N1C(=O)c2c(CCC(C)(C)C)cc3c4c5c(c6cc(CCC(C)(C)C)c(c2c36)C1=O)=CC(CCC(C)(C)C)=C1C(=O)N(C(CC)CC)C(=O)C(C(CCC(C)(C)C)=C4)C15,0.75,1.74,0.38,0.5,-5.9,-3.8,2.1,2.1,-5.0,-3.1,1.9,1.9
